"time","H_pump","H0","H_static","I_motor","J_motor","K_eff","K_pump","L_s","P_shaft","Q_flow","Q_max","R_r","R_s","T_em","T_load","T_max","V_supply","Z_total","der(omega)","efficiency","erosion","eta_pump","extra_friction","f_supply","g","gas_ramp","gas_severity","omega","omega_rated","omega_sync","p","rho","rho_eff","s_max","slip","speed_ratio","t_gas_lock","vibration_rms"
254,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
254.1,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
254.2,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
254.3,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
254.4,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
254.5,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
254.6,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
254.7,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
254.8,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
254.9,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
255,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
255.1,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
255.2,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
255.3,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
255.4,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
255.5,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
255.6,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
255.7,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
255.8,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
255.9,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
256,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
256.1,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
256.2,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
256.3,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
256.4,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
256.5,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
256.6,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
256.7,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
256.8,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
256.9,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
257,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
257.1,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
